timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785317081178,1354,TR - Open Home Page 1,200,OK,Scenario - Login 3-1,text,true,,5018,515,1,3,https://www.demoblaze.com/index.html,1351,0,1147
1785317081178,1357,TR - Open Home Page 1,200,OK,Scenario - Sign Up 2-1,text,true,,5008,515,1,3,https://www.demoblaze.com/index.html,1351,0,1142
1785317081178,1355,TR - Open Home Page 1,200,OK,Scenario - Place Order 4-1,text,true,,5049,515,1,3,https://www.demoblaze.com/index.html,1351,0,1150
1785317082541,169,TR - Open Home Page 2,200,OK,Scenario - Sign Up 2-1,text,true,,449,458,1,3,https://www.demoblaze.com/config.json,169,0,0
1785317082537,184,TR - Open Home Page 2,200,OK,Scenario - Place Order 4-1,text,true,,581,458,1,3,https://www.demoblaze.com/config.json,183,0,0
1785317082539,187,TR - Open Home Page 2,200,OK,Scenario - Login 3-1,text,true,,474,458,1,3,https://www.demoblaze.com/config.json,186,0,0
1785317082723,422,TR - Open Home Page 3,200,OK,Scenario - Place Order 4-1,text,true,,1554,400,1,3,https://api.demoblaze.com/entries,422,0,218
1785317080962,1961,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Place Order 4-1,,true,,7184,1373,1,3,null,1956,222,1368
1785317082728,431,TR - Open Home Page 3,200,OK,Scenario - Login 3-1,text,true,,1590,400,1,3,https://api.demoblaze.com/entries,430,0,234
1785317080925,1972,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-1,,true,,7082,1373,1,3,null,1967,263,1381
1785317082713,460,TR - Open Home Page 3,200,OK,Scenario - Sign Up 2-1,text,true,,1623,400,1,3,https://api.demoblaze.com/entries,455,0,241
1785317080923,1986,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Sign Up 2-1,,true,,7080,1373,1,3,null,1975,264,1383
1785317083854,213,TR - Open Home Page 1,200,OK,Scenario - Login 3-2,text,true,,5009,515,2,6,https://www.demoblaze.com/index.html,211,0,141
1785317083855,243,TR - Open Home Page 1,200,OK,Scenario - Sign Up 2-2,text,true,,5033,515,2,6,https://www.demoblaze.com/index.html,240,0,136
1785317083954,192,TR - Open Home Page 1,200,OK,Scenario - Place Order 4-2,text,true,,4953,515,2,6,https://www.demoblaze.com/index.html,190,0,124
1785317084068,190,TR - Open Home Page 2,200,OK,Scenario - Login 3-2,text,true,,531,458,2,6,https://www.demoblaze.com/config.json,190,0,0
1785317084099,185,TR - Open Home Page 2,200,OK,Scenario - Sign Up 2-2,text,true,,430,458,2,6,https://www.demoblaze.com/config.json,184,0,0
1785317084147,176,TR - Open Home Page 2,200,OK,Scenario - Place Order 4-2,text,true,,607,458,2,6,https://www.demoblaze.com/config.json,175,0,0
1785317084260,339,TR - Open Home Page 3,200,OK,Scenario - Login 3-2,text,true,,1486,400,2,6,https://api.demoblaze.com/entries,338,0,130
1785317083849,742,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-2,,true,,7026,1373,2,6,null,739,9,271
1785317084288,354,TR - Open Home Page 3,200,OK,Scenario - Sign Up 2-2,text,true,,1612,400,2,6,https://api.demoblaze.com/entries,352,0,133
1785317083851,782,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Sign Up 2-2,,true,,7075,1373,2,6,null,776,10,269
1785317084327,332,TR - Open Home Page 3,200,OK,Scenario - Place Order 4-2,text,true,,1539,400,2,6,https://api.demoblaze.com/entries,331,0,120
1785317083953,700,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Place Order 4-2,,true,,7099,1373,2,6,null,696,7,244
1785317085488,193,TR - Login-164,200,OK,Scenario - Login 3-1,text,true,,449,500,2,6,https://api.demoblaze.com/login,193,0,0
1785317086701,195,TR - Login-164,200,OK,Scenario - Place Order 4-2,text,true,,449,500,2,8,https://api.demoblaze.com/login,195,0,0
1785317086850,303,TR - Open Home Page 1,200,OK,Scenario - Login 3-3,text,true,,4850,515,3,9,https://www.demoblaze.com/index.html,300,0,124
1785317086852,351,TR - Open Home Page 1,200,OK,Scenario - Sign Up 2-3,text,true,,17517,515,3,9,https://www.demoblaze.com/index.html,303,0,127
1785317087155,68,TR - Open Home Page 2,200,OK,Scenario - Login 3-3,text,true,,452,458,3,9,https://www.demoblaze.com/config.json,67,0,0
1785317086938,297,TR - Open Home Page 1,200,OK,Scenario - Place Order 4-3,text,true,,4970,515,3,9,https://www.demoblaze.com/index.html,296,0,120
1785317087206,65,TR - Open Home Page 2,200,OK,Scenario - Sign Up 2-3,text,true,,552,458,3,9,https://www.demoblaze.com/config.json,65,0,0
1785317087237,69,TR - Open Home Page 2,200,OK,Scenario - Place Order 4-3,text,true,,441,458,3,9,https://www.demoblaze.com/config.json,69,0,0
1785317087227,329,TR - Open Home Page 3,200,OK,Scenario - Login 3-3,text,true,,1565,400,3,9,https://api.demoblaze.com/entries,328,0,142
1785317086847,700,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Login 3-3,,true,,6867,1373,3,9,null,695,10,266
1785317087274,327,TR - Open Home Page 3,200,OK,Scenario - Sign Up 2-3,text,true,,1553,400,3,9,https://api.demoblaze.com/entries,326,0,127
1785317086849,743,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Sign Up 2-3,,true,,19622,1373,3,9,null,694,10,254
1785317087309,319,TR - Open Home Page 3,200,OK,Scenario - Place Order 4-3,text,true,,1524,400,3,9,https://api.demoblaze.com/entries,318,0,121
1785317086937,685,TC - Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Scenario - Place Order 4-3,,true,,6935,1373,3,9,null,683,7,241
1785317088286,181,TR - Sign Up-128,200,OK,Scenario - Sign Up 2-1,text,true,,449,501,3,9,https://api.demoblaze.com/signup,181,0,0
1785317088428,184,TR - Login-164,200,OK,Scenario - Place Order 4-1,text,true,,449,500,3,9,https://api.demoblaze.com/login,184,0,0
